tank_id,species,avg_daily_temp,num_fish,day_length,tank_volume,num_sick,size_day_30
388,tilapia,24.27122515251290,93,10,399.45441695263300,3,2789.181374810710
425,tilapia,24.590129149619600,98,11,399.8375782311310,4,2786.5298850658800
420,tilapia,22.96837451863460,103,9,399.45082232526400,2,2791.978084278470
819,trout,14.064528005737400,85,11,401.1228856614500,7,150.86564617341700
176,tilapia,23.33959550192260,98,10,400.01435930689100,3,2785.2786125438100
926,trout,15.354478834836300,79,12,399.7444657268520,3,148.87299022332300
454,tilapia,23.826281909069400,104,10,399.931091280505,9,2781.129766998110
204,tilapia,24.02650094680570,99,10,398.98950793159400,6,2780.2067245497500
851,trout,15.656275763432400,79,12,401.00425925419100,10,152.70273746148700
515,tilapia,23.78823549768470,100,10,399.2854932805290,7,2784.5583195564100
996,trout,15.736338679029500,86,10,399.7438917597190,12,149.93817460161100
715,tilapia,24.046727152025200,102,11,401.4832696666810,5,2777.546643741610
186,tilapia,24.35208069053950,100,10,401.5702034662400,12,2780.706694642580
678,tilapia,23.802217975502100,102,10,400.0280218790090,4,2778.8542723187800
776,trout,15.199932331634300,69,11,399.57344818817900,6,148.6369946640150
766,trout,15.119387466319900,79,12,399.96593686649,6,149.49927073709700
964,trout,14.933793867540200,74,11,400.2751176118750,5,151.80869880354700
892,trout,15.112085114975900,87,10,400.3840466523140,12,150.6091399993370
534,tilapia,23.382400042176500,98,8,399.4495465430120,4,2784.003085874340
793,trout,14.711134579793500,82,11,399.7163564341930,9,150.0718127755030
751,trout,14.842530505354100,75,11,400.47152711948000,13,152.85866432579400
615,tilapia,23.75644294170070,103,10,400.0733085806140,3,2784.8243524782200
317,tilapia,22.85130098955590,98,11,402.0619634829530,4,2778.668064352680
945,trout,14.694979320241400,66,14,398.41248630442000,5,149.38313921395200
227,tilapia,23.103622878956600,109,12,400.1446213962010,6,2790.8524091290100
944,trout,15.188814024792700,62,12,399.81197048394600,8,156.3274883837260
233,tilapia,23.19692025004000,100,10,400.4669011441200,5,2781.390892007590
113,tilapia,23.100070668329800,97,11,400.11227178479700,3,2786.753721534480
844,trout,15.262627864224700,77,13,399.73427598995600,9,146.69709372690400
973,trout,15.714012253192800,94,12,400.3353094287590,9,149.74525948965600
920,trout,14.274237199197300,63,12,399.3795372080810,6,150.76227684203800
382,tilapia,23.92434523303490,103,9,400.6439238476990,3,2784.3250240084500
383,tilapia,24.435198733716100,100,10,400.61596491984500,4,2777.9107903510400
224,tilapia,24.377464953734200,103,10,400.56261837841500,8,2786.5897037634000
980,trout,13.88930997051210,79,11,400.1773382593400,7,146.84490954609900
244,tilapia,22.92913648501890,102,10,398.45533402483700,6,2773.528258383240
816,trout,14.544712204208700,71,12,399.8782603954940,8,151.64195126766200
67,tilapia,23.972629039502200,96,10,401.4783391636850,1,2786.215818787050
747,tilapia,23.357802325816900,104,10,399.67896330779300,4,2781.956243305050
783,trout,14.800016572038300,73,13,401.97830347614800,5,150.6999138803900
710,tilapia,24.39580230194850,100,9,399.811656719429,1,2787.2927703097300
547,tilapia,23.33514896723180,98,10,400.5252395094590,5,2788.733436232170
909,trout,14.313902192558600,76,13,400.6838397504710,7,149.12755549510200
191,tilapia,22.931404898526400,102,10,400.89618723897400,4,2789.5525278851600
252,tilapia,23.562855084915900,103,10,399.5003977858470,7,2783.3177373258800
593,tilapia,23.745219154606700,102,10,401.6192447892860,5,2781.509522394600
480,tilapia,24.229103452896800,100,9,399.53396498109200,4,2789.9469407080600
536,tilapia,23.85161704328630,100,10,399.17606394945800,8,2793.0093359488900
566,tilapia,23.818411955940200,101,10,399.60618839960000,2,2784.191898660470
696,tilapia,24.04854893293410,101,12,400.6797373396700,11,2778.2460999085600